,Obraz,Średni odcień szarości,Kontrast,r_mean,g_mean,b_mean,r_std,g_std,b_std,area,perimeter,width,height,aspect_ratio,circularity,saturation_mean,brightness_mean,entropy,image_index,haralick_contrast_mean,haralick_contrast_std,haralick_dissimilarity_mean,haralick_dissimilarity_std,haralick_homogeneity_mean,haralick_homogeneity_std,haralick_energy_mean,haralick_energy_std,haralick_correlation_mean,haralick_correlation_std,haralick_ASM_mean,haralick_ASM_std,gabor_mean_s0_o0,gabor_var_s0_o0,gabor_energy_s0_o0,gabor_max_s0_o0,gabor_min_s0_o0,gabor_mean_s0_o1,gabor_var_s0_o1,gabor_energy_s0_o1,gabor_max_s0_o1,gabor_min_s0_o1,gabor_mean_s0_o2,gabor_var_s0_o2,gabor_energy_s0_o2,gabor_max_s0_o2,gabor_min_s0_o2,gabor_mean_s0_o3,gabor_var_s0_o3,gabor_energy_s0_o3,gabor_max_s0_o3,gabor_min_s0_o3,gabor_mean_s1_o0,gabor_var_s1_o0,gabor_energy_s1_o0,gabor_max_s1_o0,gabor_min_s1_o0,gabor_mean_s1_o1,gabor_var_s1_o1,gabor_energy_s1_o1,gabor_max_s1_o1,gabor_min_s1_o1,gabor_mean_s1_o2,gabor_var_s1_o2,gabor_energy_s1_o2,gabor_max_s1_o2,gabor_min_s1_o2,gabor_mean_s1_o3,gabor_var_s1_o3,gabor_energy_s1_o3,gabor_max_s1_o3,gabor_min_s1_o3
10,Obraz 11,31.91,253.33,33.408258333333336,32.14032777777778,30.18285277777778,80.24498250233427,77.61338839475303,72.77734297824269,54103.5,942.8498485088348,220,328,0.6707317073170732,0.7648040052427821,7.41,33.46,3.1968984446947104,10,0.6466973127588015,0.18520478525061326,0.1073606523248716,0.02128303871396004,0.9673880302293301,0.005063862864245569,0.8086620187169878,0.00039524310001868565,0.997028814170633,0.00084932038955743,0.6539344167325419,0.0006392886905604125,0.8725274320981358,3.501301116668725,1242975.6869437147,7.453499641139556,-4.052080551978724,0.884883635453007,3.554440948694405,1264803.3351213902,6.6446149409481805,-3.269757375055282,0.8725274320981351,3.4113814758950523,1216755.1196941114,6.941256122559094,-3.6834372823993453,0.884883635453007,3.5219951958326345,1255342.153586898,7.045235248762638,-3.4563275192670204,4.541063138825887,91.89757292697068,32810490.057526864,28.93321535171316,-0.6540186949580661,4.543796879316488,91.78403900603388,32784625.641629275,28.946803280907375,-0.26569461220431545,4.541063138825887,91.10906156935286,32580560.14564551,28.93397803526032,-0.720130855854272,4.543796879316488,91.37218668452532,32664529.50467737,28.94670165735139,-0.3690573989952736
11,Obraz 12,42.23,254.33,44.70231944444444,43.343094444444446,38.63992777777778,90.87481267080285,88.53318475503329,79.03950333145872,71097.0,1127.4356340169907,211,432,0.48842592592592593,0.702874237623877,10.96,44.78,3.968973522433834,11,0.8349325611318715,0.26543227212950055,0.1348209991067133,0.029495836367426545,0.9593242689528538,0.006695584713032385,0.7519131473310481,0.000649589226603644,0.9969610522945866,0.0009648766041760848,0.5653738030954456,0.0009771035529417245,1.1674328720831717,4.4624011126599505,1698657.6618068593,8.131728240785709,-4.341327242760512,1.1839653470976632,4.440960295765516,1703741.3040613756,7.356002620958437,-3.30328825946999,1.1674328720831708,4.29384949816515,1649508.0110201747,8.544088584430591,-4.525012078751474,1.1839653470976632,4.476909325580346,1714224.0411553802,8.677491757830076,-4.342837800931917,6.075896513330786,115.97036923225583,44581816.445435435,29.026423319076425,-0.7468147873709988,6.079554230435219,115.258882114319,44387311.68779351,28.923103646466508,-0.270655454179496,6.075896513330785,114.73705610768786,44222182.33831142,28.863035975985962,-0.6724275993554673,6.079554230435219,115.55496881626158,44473650.57007997,28.954248386490406,-0.5877611896702434
12,Obraz 13,42.15,254.67,44.39611388888889,42.41891944444444,39.64179444444444,89.78107077099844,86.10300793783868,80.5959629875534,71426.0,1119.0336117744446,220,431,0.5104408352668214,0.7167701828914955,8.89,44.43,4.157861986532723,12,1.1325678917581894,0.3885841968011754,0.17272897783764435,0.03978717848546445,0.9485342282899295,0.008711209931271975,0.748483334067569,0.0006822946930928317,0.9957201316528101,0.001466988933661451,0.5602277669029521,0.0010216528267022308,1.1533923394591272,4.370675396549061,1662408.4755853326,10.88448104953007,-5.606476638249802,1.1697259809814773,4.294992280405349,1651404.0356282257,8.282954945960014,-3.902142436665806,1.1533923394591266,4.10949244491236,1586247.5268880706,8.625473250713394,-3.953275950835422,1.1697259809814773,4.300977590839343,1653149.3521507783,7.646613345602501,-3.7587312630288383,6.002822655933303,111.58476325725948,43045596.326748595,29.03791197137103,-0.9350472878377472,6.006436382246008,110.67271379383074,42792297.61115426,28.972936611120105,-0.4607246775457355,6.002822655933303,109.96861895617563,42574328.648552544,28.700667814781724,-0.7343679531689191,6.006436382246008,110.90708675789911,42860640.7674766,28.82670999739744,-0.26313921952212754
13,Obraz 14,50.44,255.0,53.50926666666667,50.859836111111115,46.93996944444444,91.76593605300631,87.36035584593675,80.45062898862714,91838.0,1304.9991210699081,250,504,0.49603174603174605,0.6776599868105949,11.52,53.57,4.977380422773633,13,1.1249370065299025,0.3909801851605744,0.1816785826791126,0.04054192031180016,0.9449000371426061,0.008651459820914469,0.6797114118215369,0.0009614895421426102,0.9957654676098328,0.0014706816273967094,0.4620085278225666,0.00130764447097312,1.383571032106831,4.392143116173892,1838949.71501442,8.529594579770887,-4.392132213657084,1.403164324420302,4.297284550173219,1827210.7022091385,7.4549976420596575,-3.6439478271150407,1.3835710321068304,4.1265505037306465,1761502.9092259686,8.27891503434766,-4.292291283412339,1.403164324420302,4.360893628391471,1845759.10941758,8.22031706913288,-3.8598895621460594,7.200786110230816,112.4655274957246,47914792.90625675,28.6829269490942,-0.7463404222364127,7.205121015946043,111.39428737995632,47620629.19794628,28.071693078569567,-0.309226893137875,7.200786110230816,110.68411989299449,47395334.44930064,28.24965084097834,-0.7926903761229572,7.205121015946043,111.80404035548214,47740113.1656096,28.682981160311837,-0.37103364783401427
14,Obraz 15,36.5,239.67,40.046483333333335,36.97145277777778,32.476908333333334,81.39732069962439,75.25569158284083,66.23077305987198,70155.5,1048.4478269815445,241,376,0.6409574468085106,0.8020065965605683,14.04,40.07,4.036211577441116,14,0.7638602462217612,0.19475667102578956,0.11536188115170345,0.017979748690100366,0.9650611061106181,0.004263466301367222,0.7532292542181719,0.0005585081254265579,0.9962463363326295,0.0009550942268250254,0.5673546213413896,0.0008413998727777457,1.0099275032369897,3.2972068338091653,1258883.9713580287,7.289242841766722,-3.9029937716683505,1.0242294829164897,3.3260799522987647,1275786.7375100607,7.273837654724224,-3.265097307109878,1.0099275032369892,3.211510871612178,1233895.0287813868,8.379403479159437,-4.321180391261223,1.0242294829164897,3.3280207202293552,1276352.6654386208,7.931044231362251,-3.6401806931529714,5.256160882882292,86.05824635143279,33150684.09539575,26.74860306673263,-0.6509706654259765,5.259325115440037,85.80033046220665,33085178.358121816,26.674427148590148,-0.25258995733064227,5.25616088288229,85.41959040339567,32964452.020948134,26.78238284750302,-0.8536786252519545,5.259325115440037,85.79192575614626,33082727.54583461,26.82861864578543,-0.30600301521218765
15,Obraz 16,52.16,252.67,57.051575,52.4091,47.0127,97.63829185950355,90.16918664667733,80.30891143189943,93324.5,1288.7564852237701,260,478,0.5439330543933054,0.7060960928605051,17.73,57.17,5.311383784577612,15,1.149768468321341,0.4024751847803792,0.1886190161302799,0.044768187889283266,0.9431046790771622,0.009978428017074895,0.6747395776406742,0.0009853064519961072,0.9959893509681053,0.0014028544937497909,0.45527446846351977,0.0013302468040385417,1.4368170565990195,4.753689908243796,1988167.6301493272,9.38113179930241,-4.848944287204367,1.4571643867596236,4.697033475317093,1988817.4207942882,8.054758036325083,-3.740031793450221,1.4368170565990181,4.438962540035902,1896393.1295799047,7.280152245455185,-3.512610596195983,1.4571643867596236,4.628118770303727,1968721.8928123913,8.870064240807375,-3.975082284655172,7.477904685779854,121.14114565379369,51630755.528216034,28.906802163269454,-0.8636123211915445,7.482406418127418,120.34240777118919,51417482.039118394,28.449584329586436,-0.40606840990965576,7.477904685779854,119.03992361394688,51018039.1813967,27.868039024904775,-0.4644808962087621,7.482406418127418,119.80861215173887,51261827.23648668,28.086093003195646,-0.5744830928021413
16,Obraz 17,49.22,254.0,52.26215,49.52984444444444,45.88160277777778,89.40404545681457,84.8198257967913,78.71862077741055,91927.5,1300.413336277008,255,511,0.49902152641878667,0.6831128958915803,12.32,52.31,5.164777659986072,16,0.9493165917629199,0.3085904891400727,0.1738466219118217,0.036590482710227294,0.9422088053920903,0.009724878552529091,0.6801262889544338,0.0010944299321282087,0.9962176928394523,0.001228393235693126,0.4625729667038065,0.0014892759526438,1.3491456728288596,4.111177899555288,1729588.0594734647,7.467626530103105,-3.9860694646480628,1.368251454120723,4.129251679850881,1749997.6612052498,7.385111693465133,-3.4850417334442865,1.3491456728288589,3.9165066596616342,1672821.925920475,7.767262047458662,-3.9773572205992718,1.3682514541207227,4.070573251736424,1732887.0315670734,8.692893071869573,-3.939927741712086,7.021619559922915,106.30318079347714,45374803.5062135,28.288825942633395,-0.6155216740165151,7.025846606566782,105.92586907542844,45282094.41156907,27.91556774056309,-0.2783380647618522,7.021619559922915,104.89877817846117,44965279.70367484,27.498249460442803,-0.6098472633227459,7.025846606566782,105.4206207184862,45134763.99068472,27.833090581918544,-0.47151898450272633
17,Obraz 18,37.03,254.67,39.43074166666667,36.88699444444445,34.772275,80.55653558529863,75.46816257918135,71.32950016719697,69569.5,1079.820409655571,220,413,0.5326876513317191,0.7497658966215888,9.36,39.46,3.819338602627253,17,0.8049315106563979,0.250806877440653,0.1257726476584148,0.024084810182709204,0.9608941772376351,0.0054871757316944676,0.7565389085660412,0.0007161765687399544,0.9960962652622001,0.0012147974957446971,0.5723516330831745,0.0010838440613610977,1.0106038507257686,3.3914551867692806,1286765.286190393,7.957006878827092,-4.254707351264165,1.024915408427463,3.3675464086441784,1288288.2176970234,8.005801630877754,-3.7312544648634813,1.0106038507257684,3.2229466886788867,1237628.208147234,7.958818691614427,-4.136603412569341,1.024915408427463,3.3537794344067158,1284273.7680093793,7.360856171141725,-3.3590523016445712,5.259680928828521,87.33593945748376,33534053.34255311,28.808789983724246,-0.7017762349024489,5.262847280469803,86.82014321750638,33393362.694909975,28.81600447503907,-0.28792190626475167,5.259680928828521,86.141100180347,33185638.209340025,28.62918365482662,-0.6271981119319145,5.262847280469803,86.6812421952685,33352859.156825405,28.72316351054764,-0.3972202270732332
18,Obraz 19,44.03,254.0,47.188744444444445,44.28663888888889,40.62874722222222,86.22306148061692,81.10515738727128,74.40332393812564,83128.5,1210.8742324113846,237,471,0.5031847133757962,0.7124620450497868,12.81,47.23,4.830673310490095,18,1.1882811748038353,0.4372368799375586,0.1846963858161841,0.04383304421597501,0.9424869639512865,0.010105482408781351,0.7085323747161159,0.0009041392370774769,0.994889203266008,0.0018790859252754326,0.5020189434886184,0.0012817305085925557,1.208650372036209,3.883277507186679,1558343.4175792998,8.703535892008436,-4.694438303185629,1.2257665442417154,3.7445747801279805,1530048.0617637513,8.538891615330504,-4.169819000005695,1.208650372036208,3.6033848469281375,1476726.7178479086,7.7462514815781,-4.141101800188561,1.2257665442417154,3.840633869842868,1558058.892324612,9.506421801009605,-4.514262841256714,6.290412713997635,98.16867238707623,40164390.44805401,28.510293265307737,-0.7400664042267443,6.294199570822379,96.84057905180151,39791014.95751384,27.24661401147235,-0.3400350546059293,6.290412713997635,96.23032628925384,39599168.72592899,27.256639031734412,-0.7463268020964493,6.294199570822379,97.51309084724099,39987119.397064,28.514576396513228,-0.5874225219120869
19,Obraz 20,52.43,255.0,55.358525,52.30073888888889,49.62285833333333,95.88083206275694,91.42927108796322,86.00273849158614,92385.0,1256.0285617113113,264,458,0.5764192139737991,0.7358889754446737,11.96,55.48,5.086061030244616,19,1.3134929431377853,0.4245301545220537,0.22762773762641186,0.0498810625751712,0.9317043963643218,0.010360590766876617,0.6764980034613843,0.0008219370987613327,0.9955150566033477,0.0014482452164176149,0.4576502242678334,0.001112584898805903,1.4296279472991185,4.855662332093048,2011893.7333792706,8.992022679627356,-4.458160876409387,1.4498734696618445,4.753682873497802,1999155.931465296,8.84290020167976,-4.192308524746309,1.4296279472991174,4.539975468095711,1919839.4438376469,7.6503531659146855,-4.012048525288192,1.4498734696618447,4.775784863501944,2005600.871750504,8.117270632062471,-3.9195404459663097,7.440489014888836,123.65529172563775,52201114.73644267,28.93160491522287,-0.9215609036232878,7.4449682228337695,122.44013192748294,51866216.586307764,28.942159224730876,-0.4140276705325489,7.4404890148888345,121.46992840637498,51563862.79254565,28.924183480385427,-0.790110261198346,7.4449682228337695,122.66046995465085,51930467.15502994,28.94587707741391,-0.5003323154110113
